city,latitude,longitude,country,citycode,density,timezone
Bosmont-sur-Serre,49.7318,3.8587,France,FR-HDF,22.3,Europe/Paris
Champcenest,48.6711,3.2821,France,FR-J,11,Europe/Paris
Blis-et-Born,45.1813,0.9064,France,FR-NAQ,23.5,Europe/Paris
Arganchy,49.2374,-0.737,France,FR-NOR,34.7,Europe/Paris
Proveysieux,45.2603,5.6971,France,FR-ARA,27,Europe/Paris
Espagnac,44.5927,1.8403,France,FR-OCC,11.1,Europe/Paris
Saint-Outrille,47.1438,1.8408,France,FR-F,24,Europe/Paris
Erckartswiller,48.8761,7.3646,France,FR-GES,31.3,Europe/Paris
Calvignac,44.4643,1.7787,France,FR-OCC,11.7,Europe/Paris
Kindwiller,48.8625,7.597,France,FR-GES,112.9,Europe/Paris
La Mazière-aux-Bons-Hommes,45.8836,2.4408,France,FR-NAQ,6.1,Europe/Paris
Revigny-sur-Ornain,48.8302,4.9856,France,FR-GES,147.6,Europe/Paris
Farges-lès-Mâcon,46.5116,4.9014,France,FR-BFC,36.6,Europe/Paris
Verneuil-Moustiers,46.34,1.135,France,FR-NAQ,8.2,Europe/Paris
Balschwiller,47.671,7.1691,France,FR-GES,86.5,Europe/Paris
L’Isle-sur-Serein,47.5884,4.0045,France,FR-BFC,141.9,Europe/Paris
Belmont-d’Azergues,45.8683,4.6698,France,FR-ARA,389.6,Europe/Paris
Saint-Lumine-de-Clisson,47.0828,-1.3372,France,FR-R,129.5,Europe/Paris
Saint-Lamain,46.7953,5.6021,France,FR-BFC,26.5,Europe/Paris
Blainville-Crevon,49.504,1.2995,France,FR-NOR,76.3,Europe/Paris
Quérénaing,50.2864,3.5132,France,FR-HDF,237.1,Europe/Paris
Saint-Joseph-de-Rivière,45.3757,5.6964,France,FR-ARA,67,Europe/Paris
Fontvieille,43.3228,5.4926,France,FR-U,366.3,Europe/Paris
Fontvieille,43.7267,4.7079,France,FR-U,101.1,Europe/Paris
Élise,49.0456,4.8672,France,FR-GES,7,Europe/Paris
Besse,45.367,3.2778,France,FR-ARA,122.8,Europe/Paris
Besse,45.2448,3.9891,France,FR-ARA,30.2,Europe/Paris
Besse,45.0961,2.3493,France,FR-ARA,30,Europe/Paris
Besse,45.072,6.1707,France,FR-ARA,2.9,Europe/Paris
Besse,45.3027,3.1417,France,FR-ARA,2.8,Europe/Paris
Besse,45.3362,3.0595,France,FR-ARA,2.4,Europe/Paris
Malbosc,44.346,4.0727,France,FR-ARA,6.6,Europe/Paris
Crachier,45.5479,5.2246,France,FR-ARA,128.1,Europe/Paris
La Fraise,43.485,2.8986,France,FR-OCC,2.5,Europe/Paris
Guenviller,49.1065,6.7988,France,FR-GES,146.9,Europe/Paris
Le Don,46.774,1.4528,France,FR-F,11.9,Europe/Paris
Firfol,49.1541,0.3198,France,FR-NOR,91.3,Europe/Paris
Saint-Martin-de-Goyne,44.0036,0.5663,France,FR-OCC,19.4,Europe/Paris
Le Cosquer,48.3666,-4.5481,France,FR-E,2719,Europe/Paris
Le Cosquer,47.748,-3.3317,France,FR-E,1348.1,Europe/Paris
Verneuil,46.8606,3.5588,France,FR-BFC,12.2,Europe/Paris
Ribeauville,50.0429,3.5854,France,FR-HDF,33.8,Europe/Paris
Le Muratel,45.7049,2.6417,France,FR-ARA,7.2,Europe/Paris
Bourdeilles,45.3219,0.5862,France,FR-NAQ,32.6,Europe/Paris
Goetzenbruck,48.9778,7.3796,France,FR-GES,203.2,Europe/Paris
Eyrayas,45.2058,3.8655,France,FR-ARA,35.6,Europe/Paris
Le Boisgeloup,49.258,1.7807,France,FR-NOR,724.2,Europe/Paris
Saint-Pompain,46.4411,-0.6001,France,FR-NAQ,40,Europe/Paris
Besneville,49.3677,-1.6273,France,FR-NOR,42,Europe/Paris
Sécheras,45.13,4.7703,France,FR-ARA,84.3,Europe/Paris
Mornex,46.1649,6.2378,France,FR-ARA,246.1,Europe/Paris
Viel,44.9991,1.4931,France,FR-OCC,16.1,Europe/Paris
Saint-Abraham,47.8559,-2.4093,France,FR-E,92.6,Europe/Paris
Grugies,49.8122,3.2682,France,FR-HDF,220.6,Europe/Paris
Bonne Fontaine,47.1605,-1.3039,France,FR-R,160.4,Europe/Paris
Lomont-sur-Crête,47.3375,6.4307,France,FR-BFC,16.1,Europe/Paris
Auxon-Dessous,47.3,5.95,France,FR-BFC,214.9,Europe/Paris
Joiselle,48.7709,3.5154,France,FR-GES,8.7,Europe/Paris
Argentine,45.4724,0.3765,France,FR-NAQ,22.9,Europe/Paris
Argentine,46.8762,-0.1602,France,FR-NAQ,20.3,Europe/Paris
Coudray,47.7911,-0.644,France,FR-R,92.1,Europe/Paris
Sémeries,50.1198,3.9985,France,FR-HDF,37.9,Europe/Paris
Saint-Andrieux,49.5426,0.0922,France,FR-NOR,290.5,Europe/Paris
Lullin,46.2849,6.5231,France,FR-ARA,73.6,Europe/Paris
Heyrieux,45.6319,5.0628,France,FR-ARA,373.6,Europe/Paris
Fouzilhon,43.5014,3.2449,France,FR-OCC,48,Europe/Paris
Saint-Vincent,47.9946,-3.2347,France,FR-E,15.6,Europe/Paris
Saint-Maurice-Montcouronne,48.5829,2.125,France,FR-J,207.1,Europe/Paris
Coudray,48.272,2.3679,France,FR-F,34.4,Europe/Paris
Coudray,48.6617,1.1948,France,FR-F,16.6,Europe/Paris
Loueuse,49.5969,1.8254,France,FR-HDF,22.3,Europe/Paris
Heiltz-le-Maurupt,48.7931,4.8144,France,FR-GES,24,Europe/Paris
Bornay,46.6132,5.5564,France,FR-BFC,25.4,Europe/Paris
Molleville,43.312,1.8337,France,FR-OCC,28.3,Europe/Paris
La Haute Combe,44.3497,6.2392,France,FR-U,2.3,Europe/Paris
Saint-Léopardin-d’Augy,46.683,3.1039,France,FR-ARA,9.5,Europe/Paris
Saint-Félix de Reillac,45.0197,0.9154,France,FR-NAQ,8.9,Europe/Paris
Vaubecourt,48.9344,5.1111,France,FR-GES,16.3,Europe/Paris
Le Grand Quesnay,49.6026,1.4822,France,FR-NOR,28.8,Europe/Paris
Saint-Inglevert,50.8754,1.7445,France,FR-HDF,132.4,Europe/Paris
Vic-sur-Seille,48.7819,6.5308,France,FR-GES,66.7,Europe/Paris
Mavilly-Mandelot,47.0486,4.7384,France,FR-BFC,20.2,Europe/Paris
Kerpourhant,48.1005,-3.3572,France,FR-E,19.8,Europe/Paris
Brandillon,45.2333,0.3167,France,FR-NAQ,185.2,Europe/Paris
Chaunac,45.3612,-0.36,France,FR-NAQ,43,Europe/Paris
Mackenheim,48.1842,7.5648,France,FR-GES,67.3,Europe/Paris
La Javelat,45.0167,4.5667,France,FR-ARA,11.9,Europe/Paris
Saint-Lyé,48.365,3.999,France,FR-GES,94.8,Europe/Paris
Le Mesnil-Hardray,48.9361,0.9905,France,FR-NOR,10.9,Europe/Paris
Montpeyroux,44.9198,0.0566,France,FR-NAQ,20.1,Europe/Paris
Saint-Étienne-de-Lisse,44.8797,-0.097,France,FR-NAQ,33,Europe/Paris
Cébazat,45.8314,3.0999,France,FR-ARA,739.7,Europe/Paris
Les Chalps,44.8667,6.8,France,FR-U,1.7,Europe/Paris
Drulhe,44.4622,2.1293,France,FR-OCC,22.1,Europe/Paris
Cusy,47.7658,4.1588,France,FR-BFC,47.8,Europe/Paris
Font-Romain,46.7424,2.2619,France,FR-F,9.7,Europe/Paris
Talmas,50.0305,2.3255,France,FR-HDF,59.3,Europe/Paris
Amanty,48.5187,5.6107,France,FR-GES,4.4,Europe/Paris
Chauvirey-le-Vieil,47.785,5.7561,France,FR-BFC,8.4,Europe/Paris
Sauvigny-le-Beuréal,47.4873,4.1089,France,FR-BFC,13.5,Europe/Paris
Les Bonnets,44.8607,5.3185,France,FR-ARA,2.5,Europe/Paris
Laizé,46.3949,4.8063,France,FR-BFC,125,Europe/Paris
Acheux-en-Vimeu,50.0652,1.6761,France,FR-HDF,41.8,Europe/Paris
Lure,47.6829,6.4966,France,FR-BFC,336.2,Europe/Paris
Mittelhausen,48.7096,7.6304,France,FR-GES,110,Europe/Paris
Mairé,46.8588,0.75,France,FR-NAQ,9.3,Europe/Paris
Total Haut,45.3,2.6167,France,FR-ARA,48.7,Europe/Paris
Onglas,45.8213,5.4825,France,FR-ARA,21.7,Europe/Paris
Soulanger,47.1956,-0.3038,France,FR-R,207.1,Europe/Paris
Rivières,45.7531,0.361,France,FR-NAQ,88.9,Europe/Paris
Saint-André-de-Sangonis,43.6497,3.5033,France,FR-OCC,311.6,Europe/Paris
Hoéville,48.707,6.4358,France,FR-GES,24.8,Europe/Paris
Marmont,44.0936,0.5841,France,FR-NAQ,21.6,Europe/Paris
Mézières-sur-Seine,48.9613,1.7925,France,FR-J,339,Europe/Paris
Mésangueville,49.5478,1.5585,France,FR-NOR,17.1,Europe/Paris
Le Roc,44.8663,1.4408,France,FR-OCC,36.1,Europe/Paris
Saint-Civran,46.4965,1.3905,France,FR-F,17,Europe/Paris
La Brûlée,47.0896,3.4822,France,FR-BFC,5.9,Europe/Paris
La Vacquerie,49.0925,-0.8588,France,FR-NOR,26.6,Europe/Paris
La Barriais,47.3108,-1.9482,France,FR-R,44.8,Europe/Paris
Présailles,44.9016,4.028,France,FR-ARA,6.9,Europe/Paris
Vellery,47.5233,3.3299,France,FR-BFC,15.5,Europe/Paris
Toury,48.4835,3.3651,France,FR-J,39.2,Europe/Paris
Pleaux,45.1348,2.2265,France,FR-ARA,16.1,Europe/Paris
Vavray-le-Petit,48.8064,4.7142,France,FR-GES,18.3,Europe/Paris
Guichards,44.846,0.5815,France,FR-NAQ,71,Europe/Paris
Toury,48.194,1.9348,France,FR-F,138.7,Europe/Paris
Toury,48.1356,2.744,France,FR-F,68.1,Europe/Paris
Trassoudaine,45.6226,1.7682,France,FR-NAQ,18.9,Europe/Paris
Aizecq,45.9921,0.2783,France,FR-NAQ,22.1,Europe/Paris
Boeurs-en-Othe,48.1383,3.7056,France,FR-BFC,15.7,Europe/Paris
Osny,49.0594,2.0618,France,FR-J,1376.1,Europe/Paris
Rubécourt-et-Lamécourt,49.6899,5.0214,France,FR-GES,37.5,Europe/Paris
Guigny,50.3302,1.9993,France,FR-HDF,49.2,Europe/Paris
Nassiet,43.6,-0.6787,France,FR-NAQ,31.4,Europe/Paris
Morlanne,43.5132,-0.5343,France,FR-NAQ,52.6,Europe/Paris
Sémerville,47.933,1.3789,France,FR-F,11.1,Europe/Paris
Béon,43.0352,-0.4183,France,FR-NAQ,15.6,Europe/Paris
Les Pénitiaux,47.3668,3.1973,France,FR-BFC,16.5,Europe/Paris
Bayon-sur-Gironde,45.0541,-0.5998,France,FR-NAQ,99.3,Europe/Paris
Friesenheim,48.3091,7.6711,France,FR-GES,62.9,Europe/Paris
Gicquel,48.6133,-2.8335,France,FR-E,509.8,Europe/Paris
Dargout,46.5502,2.226,France,FR-F,49.6,Europe/Paris
Boulleret,47.4242,2.8734,France,FR-F,41.7,Europe/Paris
Grury,46.6758,3.9106,France,FR-BFC,10.7,Europe/Paris
Laneuville-sur-Meuse,49.4929,5.162,France,FR-GES,27.6,Europe/Paris
Lusignan-Petit,44.2711,0.5243,France,FR-NAQ,51.4,Europe/Paris
Les Arpens,46.6184,2.634,France,FR-ARA,3.9,Europe/Paris
Bendejun,43.8363,7.2942,France,FR-U,235.1,Europe/Paris
Vignot,48.7749,5.6088,France,FR-GES,83.4,Europe/Paris
Montlieu-la-Garde,45.2451,-0.2557,France,FR-NAQ,42.7,Europe/Paris
Le Petit-Paris,48.6456,3.1202,France,FR-J,38.8,Europe/Paris
Wamin,50.4141,2.0597,France,FR-HDF,32.7,Europe/Paris
Wamin,50.2692,2.395,France,FR-HDF,29.8,Europe/Paris
Chemiré-le-Gaudin,47.9289,-0.0157,France,FR-R,41,Europe/Paris
Coiranne,45.5695,5.3462,France,FR-ARA,203.6,Europe/Paris
Corcelles,46.9965,3.0785,France,FR-BFC,194.1,Europe/Paris
Corcelles,47.5471,6.6147,France,FR-BFC,30.6,Europe/Paris
Corcelles,47.0295,4.5931,France,FR-BFC,11.3,Europe/Paris
La Ferté-sur-Chiers,49.5761,5.2462,France,FR-GES,43.5,Europe/Paris
Le Loquin,50.6163,2.0671,France,FR-HDF,32.9,Europe/Paris
La Soucheyre,44.9943,3.4414,France,FR-ARA,6.7,Europe/Paris
Jailliex,45.1284,1.1343,France,FR-NAQ,26.9,Europe/Paris
Chaux-des-Crotenay,46.6579,5.9667,France,FR-BFC,37.1,Europe/Paris
La Pierre,48.2974,2.0934,France,FR-F,30.4,Europe/Paris
La Pierre,46.8748,2.4484,France,FR-F,19.9,Europe/Paris
Coatéval,48.4718,-4.5237,France,FR-E,99.8,Europe/Paris
Ilhet,42.9641,0.3828,France,FR-OCC,16.8,Europe/Paris
Négrondes,45.3447,0.864,France,FR-NAQ,45.1,Europe/Paris
